Date,Forecasted_Cost_P50,Best_Case_Cost_P10,Worst_Case_Cost_P90,Provider,Service
2025-09-29 22:47:26.340543,496.2997257834718,326.3491307673049,660.0843679761315,AWS,Compute (EC2)
2025-09-29 22:47:26.340543,143.7730099695746,131.61284104067698,156.88131738066525,AWS,Storage (S3)
2025-09-29 22:47:26.340543,205.61666037626176,173.51628664038944,238.35037322896747,Azure,Networking
2025-09-29 22:47:26.340543,276.25758856925466,163.58348157228232,391.96172656911625,GCP,BigQuery
2025-09-30 22:47:26.340543,468.36868977383665,298.42428934571905,627.3159214266203,AWS,Compute (EC2)
2025-09-30 22:47:26.340543,147.87620237131102,135.51281354327304,160.06716074593763,AWS,Storage (S3)
2025-09-30 22:47:26.340543,212.06919290325484,180.43357029455274,246.1415217735956,Azure,Networking
2025-09-30 22:47:26.340543,324.3126699409403,201.49080708695996,435.8550064722774,GCP,BigQuery
2025-10-01 22:47:26.340543,490.7004778011218,332.04664953625354,640.0251047099398,AWS,Compute (EC2)
2025-10-01 22:47:26.340543,149.61112648190382,137.54742970729984,162.5191228178883,AWS,Storage (S3)
2025-10-01 22:47:26.340543,213.13614953878513,181.452232914372,244.85553824520952,Azure,Networking
2025-10-01 22:47:26.340543,289.56542763006775,169.17327664475866,407.39948102373927,GCP,BigQuery
2025-10-02 22:47:26.340543,550.2929261640593,382.1966917030441,724.9000345538389,AWS,Compute (EC2)
2025-10-02 22:47:26.340543,147.06071105391095,134.86595591909565,160.20579997008247,AWS,Storage (S3)
2025-10-02 22:47:26.340543,208.9048676800349,177.72741633806712,240.60730376485841,Azure,Networking
2025-10-02 22:47:26.340543,261.9730744485948,144.38773343074155,380.1814131352225,GCP,BigQuery
2025-10-03 22:47:26.340543,477.7908419970963,332.2007719148497,640.8585196247028,AWS,Compute (EC2)
2025-10-03 22:47:26.340543,149.68494071834888,137.5199342696965,162.19829110288086,AWS,Storage (S3)
2025-10-03 22:47:26.340543,200.37206233011634,169.74577283386236,231.81210341200955,Azure,Networking
2025-10-03 22:47:26.340543,316.565838765134,201.73159427309238,436.2642739985721,GCP,BigQuery
2025-10-04 22:47:26.340543,341.6769394466536,177.3221483930891,511.00929373851363,AWS,Compute (EC2)
2025-10-04 22:47:26.340543,103.6171515257678,91.973749313853,116.28193809300768,AWS,Storage (S3)
2025-10-04 22:47:26.340543,138.82405766086637,108.06185553341454,171.93367899122768,Azure,Networking
2025-10-04 22:47:26.340543,196.48886897381288,81.88750383757043,308.3072497425811,GCP,BigQuery
2025-10-05 22:47:26.340543,338.95873999178457,174.85784894040293,500.3511904254373,AWS,Compute (EC2)
2025-10-05 22:47:26.340543,103.57018071865102,90.07431893573624,117.14431530702043,AWS,Storage (S3)
2025-10-05 22:47:26.340543,143.72348497303767,111.90450601089738,176.3643449291752,Azure,Networking
2025-10-05 22:47:26.340543,199.4367356655695,73.51578013056539,314.1486237069817,GCP,BigQuery
2025-10-06 22:47:26.340543,497.666332062493,340.4172424396217,657.1813387225766,AWS,Compute (EC2)
2025-10-06 22:47:26.340543,143.91404756267963,130.8352733646458,156.4759703834485,AWS,Storage (S3)
2025-10-06 22:47:26.340543,205.3555324821807,175.20071559083033,237.13344753032982,Azure,Networking
2025-10-06 22:47:26.340543,276.6009185005681,159.56395581578116,395.17190646634117,GCP,BigQuery
2025-10-07 22:47:26.340543,469.7352960559672,302.2729896262599,643.6850534505282,AWS,Compute (EC2)
2025-10-07 22:47:26.340543,148.0172399700825,135.32118858722873,160.4274995336373,AWS,Storage (S3)
2025-10-07 22:47:26.340543,211.80806500398091,181.2951512904469,244.8482134033386,Azure,Networking
2025-10-07 22:47:26.340543,324.65599985401104,209.2736923505613,446.3384884563041,GCP,BigQuery
2025-10-08 22:47:26.340543,492.06708408589014,338.4067687813861,657.0195559368985,AWS,Compute (EC2)
2025-10-08 22:47:26.340543,149.75216408633335,137.45045317648754,162.43529854880776,AWS,Storage (S3)
2025-10-08 22:47:26.340543,212.87502163425464,183.2188417781827,245.68108126942494,Azure,Networking
2025-10-08 22:47:26.340543,289.90875752511556,178.23981323325677,401.324380344177,GCP,BigQuery
2025-10-09 22:47:26.340543,551.6595324516447,397.6169362780061,704.5575676097067,AWS,Compute (EC2)
2025-10-09 22:47:26.340543,147.20174866393452,134.14399499520707,159.98966200810068,AWS,Storage (S3)
2025-10-09 22:47:26.340543,208.6437397701902,177.8219669610151,240.21218538189933,Azure,Networking
2025-10-09 22:47:26.340543,262.31640432524904,152.88938272327087,382.12592986751963,GCP,BigQuery
2025-10-10 22:47:26.340543,479.1574482874066,309.40993551686654,642.9188180875587,AWS,Compute (EC2)
2025-10-10 22:47:26.340543,149.82597833394925,138.24343133402067,162.15668719271338,AWS,Storage (S3)
2025-10-10 22:47:26.340543,200.11093441493483,167.71984456019138,234.54725170270595,Azure,Networking
2025-10-10 22:47:26.340543,316.9091686233242,194.1524198602059,444.37429825985146,GCP,BigQuery
2025-10-11 22:47:26.340543,343.043545764407,189.89466344682575,495.30152178789854,AWS,Compute (EC2)
2025-10-11 22:47:26.340543,103.75818914011214,90.93229140188366,116.37602370980052,AWS,Storage (S3)
2025-10-11 22:47:26.340543,138.56292973645654,108.24630142636876,172.0968446149853,Azure,Networking
2025-10-11 22:47:26.340543,196.83219881416127,85.0206071678624,321.72298526122916,GCP,BigQuery
2025-10-12 22:47:26.340543,340.3253463361374,173.66855769974651,493.9363908134003,AWS,Compute (EC2)
2025-10-12 22:47:26.340543,103.71121833145543,91.21693641398547,115.74306579886854,AWS,Storage (S3)
2025-10-12 22:47:26.340543,143.46235703904856,110.48298932539473,176.93466879728345,Azure,Networking
2025-10-12 22:47:26.340543,199.7800654874244,82.34172331508007,308.0270612792631,GCP,BigQuery
2025-10-13 22:47:26.340543,499.03293843087107,337.13496481431775,664.6445980516293,AWS,Compute (EC2)
2025-10-13 22:47:26.340543,144.05508516841772,132.20555159497547,156.79965324959298,AWS,Storage (S3)
2025-10-13 22:47:26.340543,205.09440454400269,172.23980320489912,237.51842634702516,Azure,Networking
2025-10-13 22:47:26.340543,276.94424832252326,155.86589133584408,384.38931107413146,GCP,BigQuery
2025-10-14 22:47:26.340543,471.10190244830557,305.58833786194134,625.9223303484692,AWS,Compute (EC2)
2025-10-14 22:47:26.340543,148.15827756875726,135.88545747314217,160.37134786742843,AWS,Storage (S3)
2025-10-14 22:47:26.340543,211.54693706160938,180.97042705755126,242.9424480565455,Azure,Networking
2025-10-14 22:47:26.340543,324.9993296760681,220.33506619356436,438.19552751307225,GCP,BigQuery
2025-10-15 22:47:26.340543,493.43369050253455,329.50667775862297,662.4132238696499,AWS,Compute (EC2)
2025-10-15 22:47:26.340543,149.89320167793903,136.87165923687388,162.0372449788095,AWS,Storage (S3)
2025-10-15 22:47:26.340543,212.61389368770583,178.77050514163312,245.5705133740715,Azure,Networking
2025-10-15 22:47:26.340543,290.25208734705535,175.96245099693934,398.8475764350382,GCP,BigQuery
2025-10-16 22:47:26.340543,553.0261388923104,389.3200203279695,715.5092560312697,AWS,Compute (EC2)
2025-10-16 22:47:26.340543,147.34278624851285,135.76168530534693,160.00798671795275,AWS,Storage (S3)
2025-10-16 22:47:26.340543,208.3826118194935,175.76468876504606,238.48286940553513,Azure,Networking
2025-10-16 22:47:26.340543,262.6597341474412,148.33725687149635,370.867083239457,GCP,BigQuery
